Scheme	Sub Scheme	FAQs
Assurance Package	Community Development Council (CDC) Vouchers	"How do I/my household apply for the CDC Vouchers?
The CDC Vouchers can be claimed digitally at go.gov.sg/cdcv. Only one member representing the household is required to claim digitally via Singpass.
All Singaporean households would have received a notification letter on how to claim their vouchers.

What will I/my household need to claim the CDC Vouchers?
You will require a valid Singpass account and smartphone to log in and claim your vouchers. Singpass is needed to verify your identity and prevent fraudulent claims on behalf of your household.
Please refer to the step-by-step infographics or the notification letter for instructions on how to claim your household’s CDC Vouchers.

Where can I spend my CDC Vouchers at?
The CDC Vouchers can be spent at participating heartland merchants and hawkers, as well as participating supermarkets. You can visit go.gov.sg/cdcvouchers to find out where to spend your vouchers.
You can identify participating heartland merchants and hawkers with the teal-coloured “CDC Voucher” decal, while you can identify participating supermarkets with the yellow-coloured “CDC Supermarket Voucher” decal.

I do not have a mobile phone or digital device. What should I do?
Please seek help from your family members for assistance to claim the CDC Vouchers. If you are unable to seek help, you can approach the nearest Community Centres/Clubs (CC) for assistance to print the vouchers. Please bring along your notification letter, your Identification Card (IC) and ensure that you have a valid Singpass account.
To find out the location of your nearest CC, please key in your postal code in the district locator.
For more information on the CDC Vouchers scheme, you may visit vouchers.cdc.gov.sg/residents/info."


GST Voucher	GSTV – Cash and MediSave	"How and when will I know if I am eligible for GST Voucher (GSTV) – Cash and/GSTV – MediSave?
You may log in to the e-services to view your eligibility for GSTV – Cash and MediSave.

Can I withdraw my GSTV – MediSave?
The GSTV – MediSave that is credited to your CPF MediSave Account will form part of your CPF monies and will be subjected to CPF withdrawal rules.
MediSave can be used to pay for your own or your immediate family members’ hospitalisation expenses, incurred at any of the participating medical institutions under the MediSave Scheme.
MediSave can also be used to pay for day surgeries and approved outpatient treatments listed on the CPF website.

How will I know if the GSTV – Cash and/or GSTV – MediSave has been credited to my bank/CPF account?
You will receive an SMS (with no web links) sent to your Singpass-registered mobile number or a letter sent to your NRIC address after payment has been made.
To update your mobile number, please log in to your Singpass account at the Singpass website.

Do I qualify for the GSTV – Cash and/or GSTV – MediSave if my Assessable Income (AI) is unavailable, but I meet all other criteria?
You may check if your AI is available by visiting iras.gov.sg [log in to myTax Portal using your Singpass] > Individual Income Tax > View Account Details > View Details > View Notices > Notice of Assessment (Individual) to view your Notice of Assessment.
If your AI is unavailable because you have not filed your tax returns, you may wish to first contact IRAS at 1800 356 8300 to file your income tax returns and thereafter log in to the e-services with your Singpass to reach out to us.

One of the eligibility criteria for the 2025 GSTV – Cash is that the Income Earned in 2023 (Assessable Income (AI) for the Year of Assessment (YA) 2024) must not exceed $39,000. Why is the AI for YA2024 (instead of YA2025) used?
For Singaporeans to receive their 2025 GSTV – Cash from August 2025, we assess the eligibility based on Income Earned in 2023 (AI for YA2024) because this is the latest tax assessment available.

Why is Annual Value (AV) used instead of flat type?
AV is currently used as a proxy for wealth and family support. It is a reasonable and best available proxy for the financial resources available to the individual, including from immediate family members who reside with the individual.

Why are both Assessable Income (AI) and Annual Value (AV) used to determine the amount of GSTV – Cash one receives?
Our social support schemes are means-tested to ensure support is targeted to those with greater needs, and the use of both AI and AV allows us to achieve this objective.

Will my 2025 Annual Value (AV) of my place of residence affect my eligibility for the GSTV – Cash and/or GSTV – MediSave?
Your eligibility for social support schemes in 2025 will not be affected by your 2025 AV. 2024 AV will be used to determine your scheme eligibility in 2025.
If the AV of your place of residence is not available at the point of determining your eligibility for the GSTV in 2025, you may wish to log in to the e-services with your Singpass to update us when the AV of your residence is available.

How much will I receive if I live in a rented property?
The amount of GSTV that you receive depends on the Annual Value of your place of residence as stated on your NRIC as at 31 December of the preceding year, regardless of whether you own or rent the property.

If I own more than one property, will I be eligible for GSTV benefits?
Those who own more than one property will not be eligible for the GSTV scheme. Such properties may include shophouses, private residential properties or non-residential properties such as commercial or industrial properties.

I own more than one property, but I earn a very low income and am in financial difficulty. Can I get my GSTV?
We may consider your request on a case-by-case basis.
You may log in to the e-services with your Singpass to inform us of your circumstances and appeal for the GSTV with the supporting documents.
If you require further assistance, you may approach any Social Service Office (SSO) within your vicinity who may be able to advise you on the available assistance based on your situation and provide you with the necessary assistance. You may wish to visit the SSO website to locate the nearest SSO to you.

I am residing overseas. Am I eligible for the GSTV?
The GSTV is meant to offset the GST expenses incurred by Singaporeans residing in Singapore. Therefore, you are not eligible for these benefits if you are residing overseas.

If the beneficiary passes away before the payment of the GSTV – Cash and/or GSTV – MediSave is made, will he/she still qualify?
No. The GSTV – Cash and/or GSTV – MediSave is only paid to Singapore citizens who are alive."


GST Voucher	GSTV – U-Save	"How will I know if I qualify for the GSTV – U-Save?
No sign-up is required. The GSTV – U–Save will be credited automatically to your household’s utilities account managed by SP Services Limited. No further action is required on your part.

Can unused U-Save be encashed?
No. The GSTV – U-Save is meant to offset a household’s utilities expenses and cannot be encashed for other purposes. U-Save does not expire and any unused U-Save will be rolled over to help offset your household’s utilities bills for subsequent months.

Can I use my GSTV – U-Save to pay for electricity charges under my Open Electric Market (OEM) retailer?
The GSTV – U-Save can be used to offset electricity charges under your OEM retailer. The rebates will first be used to offset SP Group bill for non-electricity charges including water, gas and refuse collection. Any remaining U-Save will then be used to offset your electricity bills by your OEM retailer.

How can I find out more information on the GSTV – U-Save?
For further enquiries, you may fill in this feedback form or contact SP Services Limited at 6671 7117 (Mon-Fri: 8.30am-5.30pm)."


GST Voucher	GSTV – S&CC Rebate	"How will I know if my household qualifies for the GSTV – Service & Conservancy Charges (S&CC) Rebate?
Eligible Singaporean households living in HDB flats will receive the S&CC rebates to offset between 1.5 to 3.5 months of S&CC from April 2025 to January 2026 (depending on HDB flat type), if all the following criteria are met:
a. There must be at least one Singapore citizen flat owner or occupier in the flat;
b. The flat owner(s) and essential occupier(s) of the flat do not own or have any interest in a private property; and
c. The flat owner(s) have not rented out the whole flat
HDB Residents can check or enquire on their household's eligibility for S&CC Rebate by logging into My HDBPage via HDB InfoWEB with their Singpass and following these steps: My Flat > Purchased Flat/Rental Flat > View Service & Conservancy Charges (S&CC) Rebate > Write to Us.

Is there any action required on my part if I have already arranged to pay my S&CC through GIRO?
If you are paying for your S&CC through GIRO, no action is required on your part. The Town Council will arrange with your bank on the amount of S&CC that your household will have to pay, after offsetting against the amount of S&CC Rebate you are eligible for.
If you are not paying for your S&CC through GIRO, you may wish to contact your Town Council regarding S&CC payment matters.

Who can I contact for more information on the GSTV – S&CC Rebate?
For GSTV – S&CC Rebate eligibility matters, residents can send in their enquiry by logging into My HDBPage via HDB InfoWEB with their Singpass and following these steps: My Flat > Purchased Flat/Rental Flat > View Service & Conservancy Charges (S&CC) Rebate > Write to Us.
For enquiries on your household’s S&CC payment or account status, you may contact your Town Council. The Town Councils’ contact information can be found on the respective Town Councils’ websites."


Majulah Package	MediSave Bonus	"How will I know if I am eligible for the MediSave Bonus?
For the MediSave Bonus, you may log in to the e-services to view your eligibility.

Can I withdraw my MediSave Bonus?
The MediSave Bonus credited to your CPF MediSave Account will form part of your CPF monies and will be subjected to CPF withdrawal rules.
MediSave can be used to pay for your own or your immediate family members’ hospitalisation expenses, incurred at any of the participating medical institutions under the MediSave Scheme.
MediSave can also be used to pay for day surgeries and approved outpatient treatments listed on the CPF website.

Why is the MediSave Bonus paid to CPF accounts and not in cash?
As the Majulah Package is meant to help older Singapore Citizens with their retirement and healthcare needs, the benefits are paid to the CPF accounts and will grow with interest to boost their retirement and healthcare savings.

How will I know if the MediSave Bonus has been credited to my CPF account?
You can view your CPF transaction history by logging in at the CPF website with your Singpass. Additionally, your Singpass-registered mobile number will receive an SMS (without any links) about the crediting. To update your mobile number, please log in to your Singpass account at the Singpass website.
If you do not have a Singpass-registered mobile number, a letter will be sent to your residential address on your NRIC.

I have recently obtained Singapore citizenship in 2024. Am I eligible for the MediSave Bonus (MSB)?
Only Singapore Citizens may qualify for the Majulah Package. If you have obtained Singapore citizenship by 31 Dec 2024, you may write in to us to assess your eligibility.

How much will I receive if I stay in a rented property?
The amount of MediSave Bonus you receive depends on the Annual Value (AV) of your place of residence as stated on your NRIC as at 31 Dec 2023, regardless of whether you own or rent the property.

If I own more than one property, will I be eligible for MediSave Bonus?
Those who own more than one property will be eligible for the MediSave Bonus. Such properties may include shophouses, private residential properties or non-residential properties such as commercial or industrial properties.

I am residing overseas. Am I eligible for the MediSave Bonus?
You are eligible to receive the MediSave Bonus if you are residing overseas. As overseas properties are not assessed for property tax, the amount of MediSave Bonus you receive will be determined based on a deemed AV of more than $25,000.

If a beneficiary passes away before the payment of the MediSave Bonus is made, will he/she still qualify?
No. The MediSave Bonus is only paid out to living Singapore citizens."


Majulah Package	Retirement Savings Bonus	"How will I know if I am eligible for the Retirement Savings Bonus(RSB)?
For the RSB, you may log in to the e-services to view your eligibility.

How will I know if the Retirement Saving Bonus (RSB) has been credited to my CPF account?
You can view your CPF transaction history by logging in at the CPF website with your Singpass. Additionally, your Singpass-registered mobile number will receive an SMS (without any links) about the crediting. To update your mobile number, please log in to your Singpass account at the Singpass website.
If you do not have a Singpass-registered mobile number, a letter will be sent to your residential address on your NRIC.

Why is the Retirement Saving Bonus (RSB) paid to CPF accounts and not in cash?
As the Majulah Package is meant to help older Singapore Citizens with their retirement and healthcare needs, the benefits are paid to the CPF accounts and will grow with interest to boost their retirement and healthcare savings.

Can I withdraw the Retirement Saving Bonus (RSB)?
RSB is paid into your CPF Retirement Account (RA) or Special Account (if you do not have an RA), and generally cannot be withdrawn as a lump sum. It will be paid out to you as part of your monthly retirement payouts.

Where can I find more information on CPF withdrawal and monthly retirement payouts?
Please refer to the FAQs found on the CPF website for more details, such as on:
How will changes to my Retirement Account affect my CPF LIFE monthly payouts?
I am not on CPF LIFE. How will my monthly payouts be adjusted if there are changes to my retirement savings?

Why is the Retirement Savings Bonus (RSB) amount higher for recipients with CPF retirement savings below $60,000?
In line with the Government’s approach for social schemes, the RSB is designed to benefit seniors with lower means, with more support provided to those with greater needs.

I have recently obtained Singapore citizenship in 2024. Am I eligible for the Retirement Savings Bonus (RSB)?
Only Singapore Citizens may qualify for the Majulah Package. If you have obtained Singapore citizenship by 31 Dec 2024, you may write in to us to assess your eligibility.

If I own more than one property, will I be eligible for Retirement Savings Bonus (RSB)?
Those who own more than one property will not be eligible for RSB. Such properties may include shophouses, private residential properties or non-residential properties such as commercial or industrial properties.

I am residing overseas. Am I eligible for the Retirement Savings Bonus (RSB)?
You are not eligible for RSB if you are residing overseas. RSB is means-tested such that only eligible Singaporeans with a local residential address meeting the AV criterion and other eligibility criteria can qualify.

How do I check my CPF retirement savings balance as of 31 December 2022?
CPF retirement savings are determined based on the combined balances in the CPF accounts for retirement, as at 31 December 2022. If you have a Retirement Account, this refers to the combined CPF LIFE balance and Retirement Account balance. If you do not have a Retirement Account, this refers to the combined Ordinary and Special Account balances.
To check your CPF balances as at 31 December 2022, you may visit cpf.gov.sg, [log in using your Singpass > my cpf > Yearly Statement of Account, select ‘2022’].
To check your CPF LIFE balances as at 31 December 2022, you may submit an online enquiry through CPF website.

Will I be eligible for Retirement Savings Bonus (RSB) if I am fully or partially exempted from setting aside the retirement sum and/or CPF retirement savings due to a private annuity/pension?
RSB aims to help those with lower retirement savings. As a fully or partially exempted individual, you are considered to have met the Basic Retirement Sum (BRS). Thus, you are not eligible for RSB.

If a beneficiary passes away before the payment of the Retirement Savings Bonus (RSB) is made, will he/she still qualify?
No. RSB is only paid out to living Singapore citizens."


Majulah Package	Earn and Save Bonus	"How will I know if I am eligible for the Earn and Save Bonus (ESB)?
You can view your eligibility by logging in to the e-services from mid-March 2025.

How will I know if the Earn and Save Bonus (ESB) has been credited to my CPF account?
You can view your CPF transaction history by logging in at the CPF website with your Singpass. Additionally, your Singpass-registered mobile number will receive an SMS (without any links) about the crediting. To update your mobile number, please log in to your Singpass account at the Singpass website.
If you do not have a Singpass-registered mobile number, a letter will be sent to your residential address on your NRIC.

Why is the Earn and Save Bonus paid to CPF accounts and not in cash?
As the Majulah Package is meant to help older Singapore Citizens with their retirement and healthcare needs, the benefits are paid to the CPF accounts and will grow with interest to boost their retirement and healthcare savings.

Can I withdraw the Earn and Save Bonus as a lump sum?
The Earn and Save Bonus (ESB) is meant to boost your retirement savings. The ESB credited to your CPF Retirement Account will be paid out to you as part of your monthly payouts in retirement.

Where can I find more information on CPF monthly retirement payouts?
Please refer to the FAQs found on the CPF website for more details, such as on:
How will changes to my Retirement Account affect my CPF LIFE monthly payouts?
I am not on CPF LIFE. How will my monthly payouts be adjusted if there are changes to my retirement savings?

Will Self-Employed Persons and Platform Workers qualify for the Earn and Save Bonus (ESB)?
Yes, the Earn and Save Bonus (ESB) provides additional support to lower- to middle-income workers, regardless of employment type.
Employees, Self-Employed Persons and Platform Workers who earn an average monthly income of at least $500 and not more than $6,000 may be eligible for ESB, provided that they meet the other eligibility criteria.

I have moved to a property with lower annual value and/or sold my second property between 30 November and 31 December of the preceding year. Would I be eligible for the Earn and Save Bonus (ESB)?
If you moved to a property with lower annual value and/or sold your second property between 30 November and 31 December of the preceding year and have met the other criteria, you may apply to receive ESB here.

If I own more than one property, will I be eligible for Earn and Save Bonus (ESB)?
No, those who own more than one property will not be eligible for ESB. Such properties may include shophouses, private residential properties or non-residential properties such as commercial or industrial properties.

I am residing overseas. Am I eligible for Earn and Save Bonus (ESB)?
No. ESB is means-tested such that only eligible Singaporeans with a local residential address meeting the AV criterion and other eligibility criteria can qualify.

How is the average gross monthly income (AMI) criterion computed?
The average gross monthly income is defined as:
Sum of employment and trade income earned in preceding Year of Assessment ÷?Total number of months worked in the year
To qualify for ESB, your average gross monthly income earned in the preceding Year of Assessment must be $500 to $6,000.

I earn less than $500 per month. Do I qualify for Earn and Save Bonus (ESB)?
If your average monthly income is less than $500 per month and you belong to one of the following groups and meet other ESB eligibility criteria, you will qualify for concessionary ESB:
Person with Disability
ComCare Short-to-Medium Term Assistance recipient
Caregiver of a care recipient1. This generally includes caregivers residing with care recipients who are medically certified to have permanent moderate to severe disabilities.
You will receive concessionary ESB of $400/year.
1 The schemes from Agency for Integrated Care (AIC) are: Home Caregiving Grant, Pioneer Generation Disability Assistance Scheme, Interim Disability Assistance Programme for the Elderly, ElderFund, MediSave Care, CareShield Life Claims, and ElderShield Claims. These AIC schemes are for individuals who have permanent moderate to severe disabilities

How do eligible caregivers qualify for concessionary Earn and Save Bonus (ESB)?
Individuals must fulfill all four criteria below to be eligible for ESB as a working caregiver:
(a) Their care recipients qualify for selected Agency for Integrated Care (AIC) schemes1;
(b) They are related household members of the care recipient (i.e. related by blood or legal relations to the care recipient, and staying together at the same address);
(c) Their care recipients are not residing in nursing homes; and
(d) They meet all other eligibility criteria for ESB, except the $500 minimum income threshold.
We will automatically assess caregivers’ eligibility for ESB. Caregivers do not need to notify us that they are a caregiver or submit any supporting documents.
You are required to update your residential address in your NRIC with ICA if you are a caregiver and have recently moved in with your care recipient. Please log in to the e-services with your Singpass to inform us if you have already done so but yet to receive ESB.
1 The schemes from Agency for Integrated Care (AIC) are: Home Caregiving Grant, Pioneer Generation Disability Assistance Scheme, Interim Disability Assistance Programme for the Elderly, ElderFund, MediSave Care, CareShield Life Claims, and ElderShield Claims. These AIC schemes are for individuals who have permanent moderate to severe disabilities"


"2024 MediSave Bonus
"	"2024 MediSave Bonus
"	"How will I know if I am eligible for the 2024 MediSave Bonus?
For the 2024 MediSave Bonus, you may log in to the e-services to view your eligibility.

Can I withdraw my 2024 MediSave Bonus?
The 2024 MediSave Bonus credited to your CPF MediSave Account will form part of your CPF monies and will be subjected to CPF withdrawal rules.
MediSave can be used to pay for your own or your immediate family members’ hospitalisation expenses, incurred at any of the participating medical institutions under the MediSave Scheme.
MediSave can also be used to pay for day surgeries and approved outpatient treatments listed on the CPF website.

Why is the 2024 MediSave Bonus paid to CPF accounts and not in cash?
As the 2024 MediSave Bonus is meant to help Singapore Citizens with their healthcare needs, the benefits are paid to the CPF accounts and will grow with interest to boost their healthcare savings.

How will I know if the 2024 MediSave Bonus has been credited to my CPF account?
You may log in at the CPF website with your Singpass to view your CPF MediSave transaction history. In addition, an SMS (with no web links) will be sent to your Singpass-registered mobile number. To update your mobile number, please log in to your Singpass account at the Singpass website.
If you do not have a Singpass-registered mobile number, a letter will be sent to your residential address on your NRIC.

I have recently obtained Singapore citizenship in 2024. Am I eligible for the 2024 MediSave Bonus (MSB)?
Only Singapore Citizens may qualify for the Majulah Package. If you have obtained Singapore citizenship by 31 Dec 2024, you may write in to us to assess your eligibility.

How much will I receive if I stay in a rented property?
The amount of 2024 MediSave Bonus you receive depends on the Annual Value (AV) of your place of residence as stated on your NRIC as at 31 Dec 2023, regardless of whether you own or rent the property.

If I own more than one property, will I be eligible for the 2024 MediSave Bonus?
Those who own more than one property will be eligible for the 2024 MediSave Bonus. Such properties may include shophouses, private residential properties or non-residential properties such as commercial or industrial properties.

I am residing overseas. Am I eligible for the 2024 MediSave Bonus?
You are eligible to receive the 2024 MediSave Bonus if you are residing overseas. As overseas properties are not assessed for property tax, the amount of 2024 MediSave Bonus you receive will be determined based on a deemed AV of more than $25,000.

If a beneficiary passes away before the payment of the 2024 MediSave Bonus is made, will he/she still qualify?
No. The 2024 MediSave Bonus is only paid out to living Singapore citizens."


